molecula|molecula|Veber filter|Approximated area|MATS8d|GeomDiameter|SIC2|GeomShapeIndex|PPSA1|SRW09|E solv. Water  (Hartree)|MATS2c|PBF|JGI4|SaaaC|FNSA4|AATSC1are|Log Po/w WLOGP|GRAVp|pIC50
16_a4|16_a4|0.0|407.99|0.0293772029999999|10.19502391|0.8366279120000001|0.837568182|82.51653675|7.535296702|0.01638524|-0.219944434|0.292255386|0.04501634|0.0|-0.033372358|0.0067511459999999|4.96|2101.6948030000003|6.4647
5_a27|5_a27|0.0|463.87|-0.020087122|10.98289851|0.8149212259999999|0.7827415529999999|136.2361487|6.823286122000001|0.01903872|0.126882432|0.333977277|0.048947368|1.271687295|-0.030385206|0.00991794|2.8|2273.906133|8.5229
4S4l_a46|4S4l_a46|0.0|500.66|-0.229089688|10.68377935|0.762625193|0.884798257|66.47624804|7.825245291|0.02696794|-0.058870177|0.213675946|0.049498645|0.0|-0.029881089|0.0066560469999999|5.02|2166.052483|6.5834
12n_a30|12n_a30|0.0|506.94|-0.149451598|13.93957316|0.870930234|0.887350282|126.6686716|7.412764017000001|0.0334036|0.0304762079999999|0.390449649|0.040899471|0.0|-0.038674741|0.001139238|3.18|2848.910641|7.983
11c_a5|11c_a5|0.0|512.32|-0.044126759|16.09582374|0.86113162|0.811648325|178.1902995|6.605297921|0.03798847|-0.2117133739999999|0.389427402|0.027388889|0.0|-0.0322785379999999|0.005090155|4.17|2497.685314|7.6021
13l_a6|13l_a6|0.0|578.91|-0.1470289659999999|15.34147837|0.84018367|0.7413520309999999|143.7247666|7.412764017000001|0.03092407|0.03093879|0.210844002|0.0408037829999999|0.0|-0.0451862259999999|-0.009326562|3.8|2967.923804|6.4145
3a_a12|3a_a12|0.0|383.08|-0.032466697|11.01449587|0.759068438|0.859002624|107.1321197|0.0|0.023184956|0.13714555|0.241900756|0.032544803|0.0|-0.034924502|-0.0025830939999999|2.49|2045.857684|6.7122
13i_a6|13i_a6|0.0|553.67|-0.054229558|14.54375165|0.8287956870000001|0.753497905|145.07130039999998|7.412764017000001|0.03191957|0.0359494989999999|0.221116773|0.042560386|0.0|-0.046433945|-0.011017781|3.54|2906.257489|7.6778
13_a4|13_a4|0.0|429.36|-0.157188841|9.917593683|0.7986239909999999|0.751144285|67.30306705|7.535296702|0.018124154|-0.210975191|0.229685203|0.044357639|0.0|-0.0279998139999999|0.012994083|4.15|1910.137758|5.3979
15_a10|15_a10|0.0|484.05|-0.105662909|11.23924661|0.863438637|0.767351752|210.7240726|7.535296702|0.03039798|-0.166303336|0.710970489|0.0353864729999999|1.981569297|-0.025240716|0.009882584|4.72|2549.580207|7.4815
3b_a49|3b_a49|0.0|480.08|0.006213385|13.85181805|0.845992028|0.914182753|209.89391040000004|7.535296702|0.0368692|-0.003115526|0.482434361|0.034155556|1.844602991|-0.0276739079999999|0.000607064|3.2|2660.339607|7.6021
9b_a31|9b_a31|0.0|562.68|-0.154083843|15.2652837|0.899394425|0.88518099|190.5935925|7.765993078999999|0.03769117|0.010411229|0.241728566|0.03995614|0.0|-0.039058603|-0.0050444109999999|3.5|2534.356888|7.2007
12b_a30|12b_a30|0.0|516.78|-0.1240820219999999|13.88809428|0.880943609|0.878381889|127.9443353|7.412764017000001|0.03351603|0.047132642|0.383979687|0.042804233|0.0|-0.038448551|0.001139238|3.18|2849.095245|8.1543
3e_a32|3e_a32|0.0|456.76|-0.12378337|10.68709999|0.85921771|0.822602107|121.1171726|7.773594467000001|0.02588637|0.015619823|0.290874543|0.044949495|2.220794149|-0.030786645|0.000655875|5.24|2212.661182|8.0862
13_a1|13_a1|0.0|472.52|-0.150485437|14.33466671|0.825117597|0.912824292|169.6632599|7.423568444|0.0284695999999999|-0.046530797|0.207843387|0.036382114|0.0|-0.040302516|-0.008672236|3.87|2555.623166|6.585
47g_a18|47g_a18|1.0|874.26|-0.014370598|20.32265524|0.780474694|0.966014041|227.5405903|7.03438793|0.02960182|-0.005500039|0.413435809|0.031179487|0.0|-0.029212072|0.0036509859999999|3.6|3367.0578530000003|8.0458
12k_a36|12k_a36|0.0|530.51|-0.102077284|13.89698356|0.8647233590000001|0.919048073|144.457092|7.412764017000001|0.03274587|-0.076124222|0.367754573|0.039061728|0.0|-0.037758075|0.002782748|2.42|2792.202559|7.8539
