molecula|NaaNH|n9FaHRing|Wavelength (max. Transition) (nm)|NaasN|Oscillator Force (HOMO-LUMO transition)|SRW09|Highest Occupied Molecular Orbital Energy|SRW07|n6HRing|n5aRing|GATS1pe|nFaHRing|PBF|RPSA|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|DPSA2|CYP2C19 inhibitor|CYP3A4 inhibitor|Log Po/w Silicos-IT Log P|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|log P|Total Energy (water) (Hartree)|pIC50
9h_a40|0|0|292.61|1|0.2721|7.515889085|-0.20038|5.4161004020000005|0|2|0.7528137909999999|1|0.219852623|0.135689851|52.2411122|0.482124665|2073.354193|-10.27931468|832.3298135|1.0|1.0|4.59|3.0|-5.06|321.4|3.9|-1293.174246|5.4001
6_a15|0|0|285.52|0|0.0113|0.0|-0.18133|0.0|1|0|0.810779115|0|0.398681391|0.140691569|58.34873264|0.3902945579999999|2454.904173|-10.46812265|1603.08412|1.0|1.0|4.43|7.0|-5.33|380.44|3.94|-1263.0243449999998|7.4559
galu_a46|0|0||1||7.535296702||5.4161004020000005|2|1|0.6848692759999999|1|0.5235416979999999|0.236203592|57.85086047|0.468241745|2501.785113|-10.08962292|1081.799989|0.0|1.0|3.69|3.0|-6.86|369.42|||7.2924
12av_a36|1|0|256.12|0|0.0027|7.412764017000001|-0.19429|5.351858133|2|1|0.817582774|0|0.277834652|0.247552267|72.40871507|0.491188387|3011.024457|-17.07826447|2079.880404|0.0|0.0|2.38|7.0|-7.66|438.48|4.5|-1440.988179|7.4089
24_a20|0|0|232.2|1|0.0108|6.842683282|-0.22435|4.727387819|2|1|0.607038752|1|0.531656762|0.047972705|46.85253003|0.457794721|2736.601949|-10.80905198|1110.861171|1.0|1.0|4.76|4.0|-6.26|402.45|3.74|-1291.896802|6.4976
11b_a50|0|1|266.8|2|0.0711|7.927685046000001|-0.19501|5.82008293|1|2|0.667956827|1|0.229754094|0.068683675|33.38515735|0.42907551|2286.724895|-6.788943965|851.2497152000001|0.0|1.0|3.09|2.0|-6.24|327.38|3.05|-1045.98235|5.7696
12m_a30|0|0|244.95|0|0.1615|7.412764017000001|-0.20742|5.351858133|2|1|0.770326886|0|0.415971907|0.216739951|76.52074257|0.44976016|3058.3084710000003|-18.66147291|1812.833129|1.0|0.0|3.4|6.0|-6.22|439.49|3.88|-1743.215323|7.5114
12h_a36|1|0|238.44|0|0.0056|7.412764017000001|-0.1926|5.351858133|2|1|0.84179881|0|0.3726296|0.180385475|66.44902736|0.464544951|2845.467486|-15.32224162|1899.376328|1.0|0.0|2.77|6.0|-6.93|411.46|2.92|-1347.481013|7.8539
12ar_a36|1|0|237.29|0|0.2372|7.412764017000001|-0.21291|5.351858133|2|1|0.8196353679999999|0|0.317338373|0.163457134|69.99622854|0.4743067589999999|2902.67985|-15.99689556|1804.132337|1.0|0.0|3.14|6.0|-7.21|420.47|3.23|-1364.511244|7.6021
36_a18|0|0|388.57|0|0.4674|7.03438793|-0.18124|4.844187086|1|0|0.721836103|0|0.3847791889999999|0.195706133|62.10402945|0.4751830729999999|2979.013751|-16.1853561|1819.430996|1.0|1.0|3.73|7.0|-6.18|466.57|7.75|-1493.686737|7.4949
