molecula|TASA|SRW09|nAHRing|PPSA1|nFaHRing|SRW07|AATSC1s|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
13a_a6|506.474367|7.412764017000001|1|157.0011174|0|5.351858133|-0.0265090529999999|0.0012699999999999|0.00417|4.04|-1350.085889|7.3372
9_a15|471.903131|0.0|0|271.83655510000006|0|0.0|-0.042227775|0.00206|0.00562|3.36|-1223.705126|6.9706
13i_a6|418.3467934|7.412764017000001|1|145.07130039999998|0|5.351858133|-0.154502515|0.00398|14.0|4.94|-1426.549926|7.6778
4m_a46|500.1036387|7.825245291|1|140.5828543|0|5.587248657999999|0.051308728|0.00981|0.0088|3.45|-1031.138426|5.8901
5f_a40|342.5710869|8.149890544|0|85.75294257|1|6.167516491000001|-0.0468504759999999|0.0307|0.14|3.5|-1232.983157|6.9508
12h_a40|443.8158546|7.515889085|0|82.46928995|1|5.4161004020000005|-0.107711573|0.0002009999999999|0.000942|4.14|-2153.207198|6.0846
4R4l_a46|486.6405745|7.825245291|1|66.05102684|0|5.587248657999999|-0.075241716|0.00182|0.0027|4.99|-1092.75416|6.8633
7c_a10|529.8395322|7.535296702|1|276.93712|1|5.4161004020000005|0.012145872|0.0139|0.00793|2.76|-1259.011598|5.4191
12e_a30|541.7533217|7.412764017000001|2|194.2788429|0|5.351858133|-0.029595542|0.00154|0.0050799999999999|3.58|-1690.3021629999998|7.9431
14v_a23|605.3933675|7.423568444|0|139.8032821|1|5.351858133|-0.299484129|6.38e-05|0.0004969999999999|5.17|-2042.182282|8.4001
9g_a40|476.5434822|7.515889085|0|136.8503571|1|5.4161004020000005|-0.0220464379999999|977.0|247.0|3.83|-1332.487689|5.45
4S4k_a46|472.7005375|7.825245291|1|70.01975807|0|5.587248657999999|-0.088084767|5.0|0.0049299999999999|4.52|-1053.441953|6.7055
7b_a8|432.6681725|7.535296702|1|147.3863936|0|5.4161004020000005|-0.038810124|0.00224|0.00454|5.51|-1330.622441|4.8687
12as_a36|519.1478419|7.412764017000001|2|156.2451686|0|5.351858133|-0.073735973|0.0653|0.0476|4.84|-1385.601917|7.2291
4_a18 (SD-208)|401.1916387|0.0|2|204.9329964|0|0.0|-0.113324634|18.0|0.0146|2.58|-1542.296276|7.0969
4_a27|441.4418013|6.823286122000001|0|164.3952417|1|4.727387819|-0.058641975|0.0882|0.0339|4.63|-1083.138303|8.3979
9a_a40|453.3484005|7.515889085|0|63.59419322|1|5.4161004020000005|-0.020455825|0.000944|0.00243|4.07|-1217.955997|6.6696
12t_a36|555.3275093999999|7.412764017000001|2|144.422087|0|5.351858133|-0.034194893|0.0102|0.0109|3.87|-1311.585049|8.0969
16a_a10|634.4309626|7.535296702|1|189.0108247|1|5.4161004020000005|0.023926176|0.00264|0.00297|3.46|-1395.158387|7.3279
47j_a18|627.366638|7.03438793|1|183.246715|0|4.844187086|-0.068902246|0.000743|0.00366|8.09|-1625.445572|7.4559
A8301_a51|607.0025787000001|6.86171134|0|94.18649643|1|4.727387819|-0.028789626|0.000105|0.000495|||7.9208
6_a47|456.3812788|0.0|0|111.4552019|1|0.0|-0.1738997619999999|0.000362|0.000619|4.69|-1608.684886|7.9
17_a12|447.1583691000001|6.823286122000001|1|111.1480977|0|4.727387819|-0.058347964|0.0103|0.0191|2.87|-1366.804178|7.7959
12q_a36|536.0103834|7.412764017000001|2|149.536123|0|5.351858133|-0.043678703|0.0151|0.0106|3.79|-1692.544456|8.2218
12t_a30|452.99711|7.412764017000001|2|165.4110479|0|5.351858133|-0.097216874|0.00141|0.00291|4.32|-1774.2421780000002|8.0496
10_a27|453.4194305|6.605297921|0|135.40932969999997|1|4.59511985|-0.044164147|0.0882|0.0394|4.66|-1083.137871|7.1612
16_a20|602.0075202|6.842683282|0|144.672972|1|4.727387819|0.00695144|0.000349|0.0008699999999999|4.45|-1275.900951|7585.0
1k_a5|400.8898627|6.605297921|0|140.69669409999997|0|4.59511985|-0.064652321|0.0336|0.0157|3.1|-1050.548505|7.3188
18c_a22|644.1264387|6.842683282|0|219.5183688|1|4.727387819|0.013131848|0.000739|0.0036799999999999|3.5|-1783.562578|7585.0
20_a47|375.4483088|6.86171134|0|220.6189341|1|4.727387819|-0.161476442|0.0332|0.0316|4.08|-1335.742176|8.6
1l_a5|502.9124512|6.605297921|0|130.25942849999998|0|4.59511985|-0.0052651969999999|0.00308|0.00356|3.89|-1069.261615|7.4949
12r_a30|465.8474777|7.412764017000001|2|135.6928105|0|5.351858133|-0.093024002|0.00141|0.00291|4.32|-1774.236548|7.5317
28_a47|359.8303775|6.842683282|0|206.7032519|1|4.727387819|-0.23494583|0.0816|0.0824|3.51|-1335.759232|7.6
19_a15|399.3803987|0.0|0|44.99916039|0|0.0|-0.558905888|0.00279|0.0152|7.53|-1523.404372|7.1427
12ba_a36|572.4586103999999|7.412764017000001|2|197.4608731|0|5.351858133|0.026411489|0.0072599999999999|0.0244|2.79|-1417.454721|7.6778
