molecula|SRW09|nAHRing|Highest Occupied Molecular Orbital Energy|MATS2c|Gibbs Free Energy|SRW07|AATSC1s|n6aHRing|nFaHRing|WPSA3|GeomPetitjeanIndex|TASA|PPSA1|DPSA1|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Class [Log S (SILICOS-IT)]|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|pIC50
6b_a40|8.421342866|1|-0.21904|0.135693438|-3290.648012|6.401917197|-0.069975812|0|1|6.544506614|0.442509019|504.6333458|81.61884754|-506.5422338|3.36|5.67|2.0|1.0|1.98e-06|0.000335|3.1026|8.98|-3290.775349|-3290.745084|7.5229
47u_a18|7.03438793|1|-0.19109|0.039883149|-1509.839543|4.844187086|-0.0872206669999999|0|0|10.0557163|0.483819806|516.6437614|193.9244919|-309.31352410000005|0.0|3.15|1.0|0.0|0.000932|0.00472|3.1186|9.34|-1510.182477|-1510.153552|5.7055
25d_a34|7.412764017000001|1|-0.21234|0.128783829|-1426.307095|5.351858133|-0.089654563|1|0|12.8082206|0.478308897|445.9861716|147.36277019999997|-366.6979266|3.76|3.05|1.0|0.0|0.0104|0.0141|4.2732|6.05|-1426.496796|-1426.468726|6.0223
12ae_a36|7.412764017000001|2|-0.21149|0.069118289|-1875.963244|5.351858133|-0.351827031|1|0|13.25108213|0.465246185|533.6188092|234.6851816|-275.6561988|0.0|1.28|1.0|0.0|0.0668|0.0897|5235.0|6.24|-1876.203168|-1876.152311|7.8239
4b_a46|7.825245291|1|-0.21811|-0.155670183|-1033.378455|5.587248657999999|-0.022119857|2|0|2.251475261|0.428987199|510.1086157|103.3759991|-338.6757579|3.03|4.69|1.0|0.0|0.0149|0.00782|4.5515|3.98|-1033.556797|-1033.535029|6.2612
3b_a32|7.758333467000001|0|-0.20137|0.046791596|-1594.049677|5.733341277|-0.064476472|0|1|3.522270202|0.460751087|412.4267349|115.707414|-259.1375886|2.57|6.25|1.0|0.0|0.0005809999999999|0.00697|3.5545|2.45|-1594.121087|-1594.095192|8.2366
7_a3|6.823286122000001|0|-0.21219|0.198126776|-1731.651178|4.727387819|-0.106234254|2|1|2.377557323|0.3987206729999999|387.1238241|99.36002106|-296.13678660000005|2.61|4.96|1.0|0.0|0.00124|0.00455|5.8849|3.09|-1731.7341420000002|-1731.703107|5.9901
2_a20 (SB-505124)|7.434257382|1|-0.18645|-0.006955944|-1089.201587|5.351858133|-0.076310057|1|0|8.648749117000001|0.475937029|423.3785776|92.48561162|-365.2740749|3.1|5.16|1.0|0.0|0.0019199999999999|0.0040799999999999|3.6404|4.57|-1089.371784|-1089.358727|6.7721
12a_a30|7.412764017000001|2|-0.19994|0.033691224|-1575.597759|5.351858133|-0.02919335|1|0|6.263330101|0.469799116|518.4718832|120.786445|-378.4495438|0.0|3.84|1.0|0.0|0.00208|0.0056|5045.0|3.82|-1575.7783980000002|-1575.745502|7.9469
14f_a23|7.423568444|0|-0.21743|-0.002304087|-1744.2443850000002|5.351858133|-0.027380305|2|1|12.40242234|0.478733036|604.5178506|225.9578225|-224.1560124|3.61|3.42|1.0|0.0|0.0010199999999999|0.0042299999999999|5.8184|3.23|-1744.452086|-1744.429532|8.6459
